embedding,acertosCompletos,acertosCompletosPorcentagem,acertosTop5,acertosTop5Porcentagem,erros,errosPorcentagem,totalTestado,tempo_execucao
colunas,698.375,77.77004454342985,33.625,3.744432071269488,166.0,18.485523385300667,898,1216.6428244514073
parametros,656.9166666666666,73.15330363771342,51.5,5.734966592427617,189.58333333333334,21.111729769858947,898,1185.1672910163047
