modeloClassificador,acertosCompletos,acertosCompletosPorcentagem,acertosTop5,acertosTop5Porcentagem,erros,errosPorcentagem,totalTestado,tempo_execucao
gemma4:e2b,677.6875,75.4663140311804,42.5625,4.739699331848552,177.75,19.793986636971045,898,1030.184975353527
gemma4:e4b,677.6875,75.4663140311804,42.5625,4.739699331848552,177.75,19.793986636971045,898,1457.56931482551
phi3:3.8b,677.5625,75.45239420935413,42.5625,4.739699331848552,177.875,19.807906458797326,898,1114.9608830225307
