modeloChat,acertosCompletos,acertosCompletosPorcentagem,acertosTop5,acertosTop5Porcentagem,erros,errosPorcentagem,totalTestado,tempo_execucao
gemma4:e2b,677.6875,74.22645125958378,42.5625,4.661829134720701,177.75,19.46878422782037,913.0,1030.184975353527
gemma4:e4b,677.6875,74.22645125958378,42.5625,4.661829134720701,177.75,19.46878422782037,913.0,1457.56931482551
qwen2:7b,677.5625,74.21276013143483,42.5625,4.661829134720701,177.875,19.48247535596933,913.0,1114.9608830225307
